English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Studios,Source,Genres,Demographics,Score,Popularity,Favorites
Amazing Bowel Familiars,Special,1,Finished Airing,"Dec 23, 2009",Not Available,Unknown,Nomad,Light novel,Comedy,Unknown,5.421,4949,6
Unknown,OVA,1,Finished Airing,"Mar 21, 1994",Not Available,Unknown,animate Film,Original,"Action, Adventure, Comedy, Romance, Sci-Fi, Ecchi",Unknown,6.111,4950,12
Unknown,OVA,2,Finished Airing,"Nov 4, 2020","Mar 4, 2021",Unknown,Project No.9,Manga,"Action, Comedy, Supernatural, Ecchi",Shounen,6.201,4951,20
Unknown,OVA,4,Finished Airing,"Feb 5, 2021","Mar 5, 2021",Unknown,T-Rex,Manga,Hentai,Unknown,7.371,4952,145
Unknown,OVA,2,Finished Airing,"Aug 6, 2021",Not Available,Unknown,T-Rex,Manga,Hentai,Unknown,7.791,4953,237
Unknown,OVA,1,Finished Airing,"Aug 16, 2010",Not Available,Unknown,CoMix Wave Films,Original,"Boys Love, Sci-Fi, Slice of Life",Unknown,6.801,4954,63
Pokémon Mystery Dungeon Team Go-Getters Out of the Gate!,Special,1,Finished Airing,"Sep 8, 2006",Not Available,Unknown,OLM,Game,"Adventure, Fantasy",Unknown,6.481,4955,4
Unknown,OVA,2,Finished Airing,"May 30, 2014","Sep 5, 2014",Unknown,Rabbit Gate,Manga,Hentai,Unknown,7.041,4956,71
Najica Blitz Tactics,TV,12,Finished Airing,"Oct 5, 2001","Dec 27, 2001",Fall 2001,Studio Fantasia,Original,"Action, Comedy, Sci-Fi, Ecchi",Unknown,5.981,4957,8
Unknown,OVA,4,Finished Airing,"Jul 27, 2012","Nov 21, 2014",Unknown,Oz Inc.,Visual novel,"Action, Supernatural, Hentai",Unknown,6.771,4958,118
Galaxy Warring State Chronicle Rai,TV,52,Finished Airing,"Apr 8, 1994","Mar 31, 1995",Spring 1994,E&G Films,Manga,"Adventure, Romance, Sci-Fi",Shounen,7.881,4959,77
Unknown,Special,1,Finished Airing,"Nov 27, 2016",Not Available,Unknown,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,6.151,4960,12
Unknown,OVA,2,Finished Airing,"Jun 1, 2018","Jul 6, 2018",Unknown,T-Rex,Manga,Hentai,Unknown,7.311,4962,129
Unknown,OVA,6,Finished Airing,"Feb 1, 2019","Mar 4, 2022",Unknown,T-Rex,Manga,Hentai,Unknown,7.221,4963,119
Unknown,OVA,1,Finished Airing,"Dec 5, 2014",Not Available,Unknown,Peak Hunt,Visual novel,Hentai,Unknown,7.211,4964,85
March comes in like a lion meets Bump of Chicken,Music,1,Finished Airing,"Dec 8, 2014",Not Available,Unknown,Unknown,Manga,Drama,Seinen,7.051,4965,17
Unknown,Special,2,Finished Airing,"Nov 28, 2021","Mar 5, 2022",Unknown,A-1 Pictures,Light novel,"Action, Drama, Sci-Fi",Unknown,6.571,4966,63
Unknown,TV,13,Finished Airing,"Oct 3, 2015","Dec 26, 2015",Fall 2015,"Xebec, I.Gzwei",Original,"Action, Drama, Sci-Fi",Unknown,7.601,4967,82
Unknown,OVA,4,Finished Airing,"Nov 25, 2010",Not Available,Unknown,AIC Takarazuka,Manga,"Comedy, Romance",Shounen,6.651,4968,11
Unknown,Movie,1,Finished Airing,"Aug 2, 2019",Not Available,Unknown,"Shirogumi, Robot Communications",Game,"Adventure, Comedy, Fantasy",Unknown,6.781,4969,41
Daphne in the Brilliant Blue,TV,24,Finished Airing,"Jan 16, 2004","Jul 3, 2004",Winter 2004,J.C.Staff,Original,"Comedy, Drama, Mystery, Sci-Fi, Ecchi",Unknown,6.761,4970,25
Unknown,ONA,1,Finished Airing,"Jul 8, 2019",Not Available,Unknown,David Production,Manga,Comedy,Unknown,6.631,4972,12
Letter Bee Light and Blue Night Fantasy,Special,1,Finished Airing,"Nov 24, 2008",Not Available,Unknown,Pierrot,Manga,"Adventure, Fantasy, Slice of Life, Supernatural",Shounen,7.451,4972,11
Unknown,Special,2,Finished Airing,"Oct 23, 2010","Oct 30, 2010",Unknown,Shaft,4-koma manga,"Comedy, Slice of Life",Seinen,7.801,4973,9
Unknown,OVA,2,Finished Airing,"Jun 26, 2015","Jul 24, 2015",Unknown,Peak Hunt,Light novel,Hentai,Unknown,7.231,4974,99
Red Riding Hood Chacha,TV,74,Finished Airing,"Jan 7, 1994","Jun 30, 1995",Winter 1994,Gallop,Manga,"Adventure, Comedy, Fantasy, Romance",Shoujo,7.411,4975,89
Rilakkuma and Kaoru,ONA,13,Finished Airing,"Apr 19, 2019",Not Available,Unknown,dwarf,Other,Unknown,Kids,7.661,4977,161
Unknown,ONA,4,Finished Airing,"Jun 15, 2001","Feb 24, 2002",Unknown,Actas,Original,"Comedy, Drama, Romance",Unknown,6.341,4978,20
Speed Racer,TV,52,Finished Airing,"Apr 2, 1967","Mar 31, 1968",Spring 1967,Tatsunoko Production,Manga,Adventure,Shounen,6.661,4978,106
Unknown,Movie,1,Finished Airing,"Apr 20, 1996",Not Available,Unknown,AIC,Original,"Action, Adventure, Romance, Sci-Fi",Unknown,7.051,4979,33
Unknown,Special,1,Finished Airing,"Jun 27, 2012",Not Available,Unknown,Arms,Other,"Action, Fantasy, Ecchi",Unknown,6.101,4981,8
Wagnaria'!! Announcement Specials,ONA,2,Finished Airing,"Apr 1, 2011","Apr 2, 2011",Unknown,A-1 Pictures,4-koma manga,Comedy,Unknown,6.771,4982,9
Unknown,ONA,40,Finished Airing,"May 9, 2017","Sep 22, 2017",Unknown,Ruo Hong Culture,Novel,"Action, Adventure, Fantasy, Romance",Unknown,7.301,4983,127
Unknown,ONA,1,Finished Airing,"Feb 8, 2018",Not Available,Unknown,Unknown,Game,Unknown,Unknown,5.891,4984,37
My-Otome 0 S.ifr,OVA,3,Finished Airing,"Feb 21, 2008","Nov 21, 2008",Unknown,Sunrise,Original,Sci-Fi,Unknown,7.351,4985,30
Petite Princess Yucie,TV,26,Finished Airing,"Sep 30, 2002","Mar 24, 2003",Fall 2002,"Gainax, AIC",Original,"Comedy, Fantasy",Shoujo,7.421,4986,81
Unknown,Movie,1,Finished Airing,"Mar 18, 2017",Not Available,Unknown,Studio Gokumi,Light novel,"Drama, Fantasy, Slice of Life",Unknown,7.531,4987,14
Teekyu 8,TV,12,Finished Airing,"Oct 5, 2016","Dec 21, 2016",Fall 2016,Millepensee,Manga,Comedy,Shounen,6.601,4988,11
Unknown,TV,26,Finished Airing,"Apr 2, 1999","Oct 1, 1999",Spring 1999,Sunrise,Original,"Action, Adventure, Drama, Horror, Mystery, Sci-Fi",Unknown,6.581,4989,72
Unknown,TV,12,Finished Airing,"Apr 7, 2015","Jun 23, 2015",Spring 2015,Millepensee,Manga,"Comedy, Slice of Life",Shounen,6.411,4990,10
The Poem of Wind and Trees,OVA,1,Finished Airing,"Nov 6, 1987",Not Available,Unknown,Triangle Staff,Manga,"Boys Love, Drama, Romance",Shoujo,6.861,4991,99
Unknown,Special,1,Finished Airing,"Dec 31, 2017",Not Available,Unknown,Wit Studio,Manga,Fantasy,Shounen,7.241,4992,27
Unknown,TV,243,Finished Airing,"Apr 8, 1981","Feb 19, 1986",Spring 1981,Toei Animation,Manga,"Comedy, Sci-Fi, Slice of Life",Shounen,7.151,4994,62
Unknown,TV,16,Finished Airing,"Oct 7, 2015","Jan 27, 2016",Fall 2015,Signal.MD,Novel,Mystery,Unknown,6.201,4994,16
Adults Dunno How to Love!,ONA,8,Finished Airing,"Oct 5, 2020","Nov 23, 2020",Unknown,Ether Kitten,Manga,"Romance, Hentai",Unknown,5.771,4995,40
Unknown,Special,6,Finished Airing,"Oct 23, 2009","Mar 25, 2010",Unknown,GoHands,Visual novel,"Comedy, Ecchi",Unknown,6.181,4996,8
Unknown,Special,2,Finished Airing,"Feb 27, 2019","Mar 27, 2019",Unknown,"NAZ, Magia Doraglier",Light novel,"Comedy, Ecchi",Unknown,5.581,4997,3
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Play Back,Special,1,Finished Airing,"Jul 9, 2022",Not Available,Unknown,J.C.Staff,Light novel,"Action, Adventure, Comedy, Fantasy, Romance",Unknown,6.511,4998,39
Getter Robo Armageddon,OVA,13,Finished Airing,"Aug 25, 1998","May 25, 1999",Unknown,Brain's Base,Unknown,"Action, Adventure, Horror, Sci-Fi",Shounen,7.721,4999,331
Gekidol,TV,12,Finished Airing,"Jan 5, 2021","Mar 3, 2021",Winter 2021,Hoods Entertainment,Original,"Drama, Sci-Fi",Unknown,5.501,5000,25
3x3 Eyes Legend of the Divine Demon,OVA,3,Finished Airing,"Jul 25, 1995","Jun 25, 1996",Unknown,Studio Junio,Manga,"Action, Adventure, Fantasy, Horror, Romance",Unknown,6.921,5001,39
Unknown,TV,26,Finished Airing,"Oct 6, 1998","Mar 30, 1999",Fall 1998,Hal Film Maker,Unknown,"Action, Adventure, Comedy, Sci-Fi",Unknown,7.281,5002,37
NAMUAMIDABUTSU! -UTENA-,TV,12,Finished Airing,"Apr 8, 2019","Jun 24, 2019",Spring 2019,Asahi Production,Game,Fantasy,Unknown,6.081,5003,23
Unknown,Special,3,Finished Airing,"Aug 9, 2016","Aug 20, 2016",Unknown,CoMix Wave Films,Original,Slice of Life,Unknown,5.941,5004,19
Code Geass Oz the Reflection Picture Drama,OVA,5,Finished Airing,"Jan 10, 2013",Not Available,Unknown,Sunrise,Unknown,"Action, Drama, Supernatural",Unknown,6.251,5005,5
Hidamari Sketch x SP,Special,2,Finished Airing,"Oct 30, 2011","Nov 6, 2011",Unknown,Shaft,4-koma manga,"Comedy, Slice of Life",Seinen,7.761,5006,12
Pokemon Pikachu's Winter Vacation,OVA,2,Finished Airing,"Dec 22, 1998",Not Available,Unknown,OLM,Game,"Adventure, Comedy, Fantasy",Kids,6.491,5007,8
Legend of the Galactic Heroes Golden Wings,Movie,1,Finished Airing,"Dec 12, 1992",Not Available,Unknown,Magic Bus,Novel,"Action, Drama, Sci-Fi",Unknown,6.261,5008,8
Onara Goro,TV,13,Finished Airing,"Jul 3, 2016","Sep 24, 2016",Summer 2016,ILCA,Original,Comedy,Unknown,5.551,5009,79
Nobody's Boy Remi,TV,51,Finished Airing,"Oct 2, 1977","Oct 1, 1978",Fall 1977,"Madhouse, TMS Entertainment",Novel,"Adventure, Drama, Slice of Life",Kids,7.831,5010,242
Unknown,Special,6,Finished Airing,"Jun 25, 2010","Nov 25, 2010",Unknown,"Arms, TNK",Unknown,"Comedy, Ecchi",Unknown,6.521,5011,6
Ghost Stories The Headless Horsemen!! Curse of Death,Special,1,Finished Airing,"Aug 24, 2001",Not Available,Unknown,Pierrot,Original,"Horror, Mystery, Supernatural",Unknown,7.011,5012,11
Blue Legend Shoot!,TV,58,Finished Airing,"Nov 7, 1993","Dec 25, 1994",Fall 1993,Toei Animation,Manga,"Action, Comedy, Drama, Romance, Sports",Shounen,7.401,5013,69
Unknown,ONA,2,Finished Airing,"Aug 29, 2019","Sep 4, 2019",Unknown,Bandai Namco Pictures,Manga,"Action, Comedy",Unknown,7.471,5014,21
Ishida & Asakura,TV,12,Finished Airing,"Jan 6, 2013","Mar 24, 2013",Winter 2013,Hotline,Manga,Comedy,Seinen,5.871,5015,17
Unknown,OVA,1,Finished Airing,"Oct 16, 2013",Not Available,Unknown,J.C.Staff,4-koma manga,Comedy,Unknown,6.971,5016,12
Cleavage,OVA,2,Finished Airing,"Feb 24, 2006","Jun 23, 2006",Unknown,Studio 9 Maiami,Visual novel,Hentai,Unknown,6.621,5017,73
Unknown,OVA,2,Finished Airing,"Jul 5, 2019","Aug 2, 2019",Unknown,T-Rex,Manga,Hentai,Unknown,7.351,5018,129
Millennium Old Journal Tale of Genji,TV,11,Finished Airing,"Jan 16, 2009","Mar 27, 2009",Winter 2009,"TMS Entertainment, Tezuka Productions",Novel,"Drama, Romance",Unknown,6.871,5019,18
SHOW BY ROCK!! Mashumairesh!!,TV,12,Finished Airing,"Jan 9, 2020","Mar 26, 2020",Winter 2020,Kinema Citrus,Game,Comedy,Unknown,7.001,5020,56
Come Together! to the Seton Academy,Special,1,Finished Airing,"Jul 3, 2020",Not Available,Unknown,Studio Gokumi,Manga,Comedy,Unknown,6.461,5021,4
MILF Assault Mode,OVA,1,Finished Airing,"Dec 20, 2013",Not Available,Unknown,Studio 1st,Manga,Hentai,Unknown,7.011,5022,70
Unknown,Music,1,Finished Airing,"May 27, 2009",Not Available,Unknown,Production I.G,Unknown,Unknown,Unknown,7.361,5023,15
Unknown,OVA,2,Finished Airing,"Dec 21, 2014","Dec 28, 2014",Unknown,Arms,Manga,"Action, Ecchi",Seinen,6.541,5024,10
Unknown,Movie,1,Finished Airing,"Dec 25, 2010",Not Available,Unknown,Xebec,Original,"Action, Drama, Sci-Fi",Unknown,7.371,5025,42
Saki - Episode of Side A,Special,4,Finished Airing,"Feb 20, 2013","Aug 21, 2013",Unknown,Studio Gokumi,Manga,Slice of Life,Unknown,7.531,5026,20
Unknown,TV,37,Finished Airing,"Jan 9, 2005","Sep 25, 2005",Winter 2005,"TMS Entertainment, Tokyo Kids, Minami Machi Bugyousho",Manga,Mystery,Seinen,7.401,5027,55
Unknown,Movie,3,Finished Airing,"Jan 6, 2018",Not Available,Unknown,Kyoto Animation,Unknown,Comedy,Unknown,6.541,5028,15
Unknown,TV,12,Finished Airing,"Jan 12, 2019","Mar 30, 2019",Winter 2019,Bandai Namco Pictures,Mixed media,Unknown,Shoujo,6.711,5029,54
Photon The Idiot Adventures,OVA,6,Finished Airing,"Nov 21, 1997","Feb 18, 1999",Unknown,AIC,Original,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi, Ecchi",Unknown,7.041,5030,50
Unknown,TV,48,Finished Airing,"Apr 7, 2020","Mar 23, 2021",Spring 2020,Zexcs,Card game,Fantasy,Unknown,5.701,5031,28
Unknown,TV,39,Finished Airing,"May 6, 2002","Feb 3, 2003",Spring 2002,Studio Comet,Manga,Sports,Shounen,7.381,5032,81
New Fist of the North Star,OVA,3,Finished Airing,"Jul 24, 2003","May 28, 2004",Unknown,A.C.G.T.,Novel,"Action, Sci-Fi",Shounen,6.941,5033,15
Unknown,TV,12,Finished Airing,"Jul 11, 2014","Sep 26, 2014",Summer 2014,Seven,Manga,"Comedy, Slice of Life",Josei,6.211,5034,6
Unknown,OVA,13,Finished Airing,"Jun 3, 2011","Jan 25, 2012",Unknown,"Production I.G, Welz Animation Studios",Original,"Action, Sci-Fi",Unknown,6.311,5036,13
Kaleido Star Legend of Phoenix - The Layla Hamilton Story,OVA,1,Finished Airing,"Dec 11, 2005",Not Available,Unknown,Gonzo,Original,"Comedy, Drama",Shoujo,7.851,5036,31
Unknown,OVA,3,Finished Airing,"Feb 18, 2011","Jul 22, 2011",Unknown,Lilix,Visual novel,Hentai,Unknown,7.141,5037,74
Bananya and the Curious Bunch,TV,13,Finished Airing,"Oct 1, 2019","Dec 24, 2019",Fall 2019,"TMS Entertainment, Gathering",Original,"Comedy, Slice of Life",Kids,6.631,5038,30
Unknown,Movie,1,Finished Airing,"Jul 8, 2017",Not Available,Unknown,Studio Gokumi,Light novel,"Drama, Fantasy, Slice of Life",Unknown,8.011,5039,39
Phantom The Animation,OVA,3,Finished Airing,"Feb 27, 2004","Nov 26, 2004",Unknown,Arcs Create,Visual novel,"Action, Drama",Shounen,6.491,5040,14
Swimming,Special,1,Finished Airing,"Mar 7, 2013",Not Available,Unknown,Kyoto Animation,Original,Sports,Unknown,7.001,5041,8
Unknown,Movie,1,Finished Airing,"Jan 25, 2007",Not Available,Unknown,Sunwoo Entertainment,Original,"Drama, Fantasy, Sci-Fi",Unknown,7.231,5042,44
Digimon Universe App Monsters,TV,52,Finished Airing,"Oct 1, 2016","Sep 30, 2017",Fall 2016,"Toei Animation, Production GoodBook",Original,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Kids,6.571,5043,76
Beyblade Shogun Steel,TV,38,Finished Airing,"Apr 8, 2012","Dec 23, 2012",Spring 2012,SynergySP,Manga,"Adventure, Sports",Kids,6.021,5044,14
Kaleido Star New Wings Extra Stage,OVA,1,Finished Airing,"Sep 24, 2004",Not Available,Unknown,Gonzo,Original,"Adventure, Comedy, Drama",Shoujo,7.481,5045,12
Nanana's Buried Treasure,Special,1,Finished Airing,"Dec 26, 2011",Not Available,Unknown,A-1 Pictures,Light novel,"Comedy, Supernatural",Unknown,6.571,5046,16
Idol Incidents,TV,12,Finished Airing,"Jan 8, 2017","Mar 26, 2017",Winter 2017,"MAPPA, Studio VOLN",Original,Unknown,Unknown,5.671,5047,17
Unknown,TV,13,Finished Airing,"Oct 2, 2006","Dec 25, 2006",Fall 2006,Tokyo Kids,Visual novel,"Boys Love, Romance",Unknown,5.821,5048,17
Unknown,ONA,30,Finished Airing,"Jun 8, 2018","Aug 24, 2018",Unknown,Anime Beans,Manga,"Boys Love, Comedy",Unknown,6.791,5049,33
Unknown,ONA,6,Finished Airing,"Aug 18, 2022",Not Available,Unknown,"Studio Hibari, Larx Entertainment",Game,Action,Unknown,6.541,5049,52
Unknown,TV,26,Finished Airing,"Apr 7, 1998","Sep 29, 1998",Spring 1998,Radix,Manga,"Action, Comedy, Drama, Fantasy, Horror, Romance, Sci-Fi",Unknown,6.771,5051,37
Unknown,OVA,3,Finished Airing,"Feb 24, 2017","Sep 27, 2019",Unknown,Seven,Original,Hentai,Unknown,7.301,5052,129
Unknown,TV,12,Finished Airing,"Jan 9, 2006","Mar 27, 2006",Winter 2006,J.C.Staff,Original,Drama,Seinen,7.381,5053,39
Kaze no Yojimbo,TV,25,Finished Airing,"Oct 2, 2001","Mar 26, 2002",Fall 2001,Pierrot,Original,"Action, Drama, Mystery",Shounen,7.141,5054,34
Ah My Buddha Katsu Special,Special,1,Finished Airing,"Jun 21, 2006",Not Available,Unknown,Studio Deen,Unknown,"Comedy, Romance, Supernatural, Ecchi",Unknown,6.581,5055,6
Unknown,OVA,1,Finished Airing,2005,Not Available,Unknown,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Shounen,7.231,5056,4
The Qwaser Of Stigmata II Picture Drama,Special,4,Finished Airing,"Jul 6, 2011","Oct 5, 2011",Unknown,Hoods Entertainment,Unknown,Ecchi,Unknown,6.001,5057,11
Unknown,Special,1,Finished Airing,"Oct 3, 2010",Not Available,Unknown,Studio Deen,Visual novel,"Action, Drama, Supernatural",Josei,7.101,5058,15
Unknown,Movie,1,Finished Airing,"Apr 15, 2017",Not Available,Unknown,Studio Gokumi,Light novel,"Drama, Fantasy, Slice of Life",Unknown,7.801,5059,23
Action Heroine Cheer Fruits,TV,12,Finished Airing,"Jul 7, 2017","Sep 29, 2017",Summer 2017,Diomedéa,Original,"Comedy, Slice of Life",Unknown,6.531,5060,22
Unknown,OVA,2,Finished Airing,"Nov 26, 2010","Feb 25, 2011",Unknown,Office Take Off,Visual novel,Hentai,Unknown,6.881,5061,57
Unknown,TV,12,Finished Airing,"Apr 10, 2016","Jun 26, 2016",Spring 2016,Studio Deen,Manga,Comedy,Shounen,7.131,5062,100
Ray The Animation,TV,13,Finished Airing,"Apr 5, 2006","Jun 28, 2006",Spring 2006,OLM,Manga,"Drama, Romance, Sci-Fi",Unknown,6.611,5063,14
Unknown,Special,2,Finished Airing,"Sep 28, 2010","Dec 28, 2010",Unknown,Studio Deen,Manga,"Action, Supernatural",Shounen,6.371,5064,7
You Don't Know Gunma Yet,TV,12,Finished Airing,"Apr 2, 2018","Jun 18, 2018",Spring 2018,Asahi Production,Web manga,Comedy,Unknown,5.241,5065,1
Legend of the Millennium Dragon,Movie,1,Finished Airing,"Apr 29, 2011",Not Available,Unknown,Pierrot,Original,"Action, Supernatural",Unknown,6.511,5066,19
Dream Festival!,ONA,12,Finished Airing,"Sep 23, 2016","Dec 16, 2016",Unknown,Bandai Namco Pictures,Game,Unknown,Unknown,6.681,5066,64
Gauche the Cellist,Movie,1,Finished Airing,"Jan 23, 1982",Not Available,Unknown,Oh! Production,Book,"Drama, Fantasy",Kids,6.871,5068,19
Unknown,TV,12,Finished Airing,"Oct 7, 2006","Dec 23, 2006",Fall 2006,Ajia-Do,Other,"Comedy, Romance",Unknown,6.241,5069,14
Mr. Osomatsu the Movie,Movie,1,Finished Airing,"Mar 15, 2019",Not Available,Unknown,Pierrot,Manga,Comedy,Unknown,7.881,5070,78
Unknown,Special,1,Finished Airing,"Sep 10, 2014",Not Available,Unknown,J.C.Staff,Light novel,"Action, Comedy, Sci-Fi",Unknown,6.791,5071,14
Unknown,OVA,4,Finished Airing,"Aug 26, 2006","Sep 15, 2007",Unknown,Studio Ten Carat,Visual novel,Hentai,Unknown,6.791,5072,65
GUNDAM BUILD DIVERS ReRISE,ONA,13,Finished Airing,"Oct 10, 2019","Dec 26, 2019",Unknown,Sunrise Beyond,Original,"Action, Sci-Fi",Unknown,7.031,5073,50
Unknown,OVA,1,Finished Airing,"May 22, 2015",Not Available,Unknown,Office Takeout,Visual novel,Hentai,Unknown,6.861,5074,69
CLAMP School Detectives,TV,26,Finished Airing,"May 3, 1997","Oct 25, 1997",Spring 1997,Pierrot,Manga,"Action, Comedy, Mystery",Shoujo,6.851,5075,26
Unknown,Music,1,Finished Airing,"Sep 5, 2012",Not Available,Unknown,Sunrise,Music,Unknown,Unknown,7.301,5076,14
Ojisan and Marshmallow Episode 13 Hige-san and Marshmallow,Special,1,Finished Airing,"Apr 16, 2016",Not Available,Unknown,Creators in Pack,Web manga,Comedy,Unknown,6.051,5077,10
Unknown,OVA,1,Finished Airing,"Mar 13, 2007",Not Available,Unknown,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Shounen,7.251,5078,4
Unknown,TV,26,Finished Airing,"Jul 3, 1998","Dec 25, 1998",Summer 1998,Studio Deen,Manga,"Adventure, Drama, Fantasy",Shounen,7.081,5079,62
Street Fighter Alpha Generations,Movie,1,Finished Airing,"Oct 25, 2005",Not Available,Unknown,APPP,Game,Adventure,Shounen,6.471,5080,14
Another Lady Innocent,OVA,1,Finished Airing,"Mar 10, 2005",Not Available,Unknown,Arms,Original,Hentai,Unknown,6.861,5081,82
LBX Girls,TV,12,Finished Airing,"Jan 7, 2021","Mar 25, 2021",Winter 2021,Studio A-CAT,Game,"Action, Fantasy",Unknown,5.741,5082,33
Unknown,ONA,20,Finished Airing,"Aug 25, 2016","Jan 5, 2017",Unknown,B.CMAY PICTURES,Manga,Mystery,Unknown,7.171,5083,27
Unknown,OVA,3,Finished Airing,"Nov 11, 2015",Not Available,Unknown,"Actas, Bee Media",Manga,"Action, Sci-Fi, Supernatural",Shounen,6.281,5085,14
The Heroic Legend of Arslan,Special,1,Finished Airing,"Jul 5, 2015",Not Available,Unknown,"SANZIGEN, LIDENFILMS",Manga,"Action, Adventure, Drama, Fantasy, Supernatural",Unknown,6.551,5086,8
"With a Dog AND a Cat, Every Day is Fun",TV,24,Finished Airing,"Oct 3, 2020","Mar 27, 2021",Fall 2020,Team TillDawn,Manga,"Comedy, Slice of Life",Unknown,7.241,5087,40
Sakura Diaries,OVA,12,Finished Airing,"May 21, 1997","Oct 22, 1997",Unknown,Shaft,Manga,"Comedy, Drama, Romance, Slice of Life",Unknown,6.161,5089,17
Unknown,OVA,2,Finished Airing,"Oct 2, 2015","Dec 25, 2015",Unknown,Studio 1st,Manga,Hentai,Unknown,6.761,5090,47
Unknown,Special,6,Finished Airing,"Dec 3, 2013","Dec 18, 2013",Unknown,Unknown,Manga,Comedy,Unknown,6.731,5091,54
Unknown,TV,13,Finished Airing,"Apr 5, 2001","Jun 28, 2001",Spring 2001,Satelight,Original,"Adventure, Sci-Fi",Unknown,6.331,5092,15
Unknown,OVA,3,Finished Airing,"Apr 26, 2006","Aug 25, 2006",Unknown,Sunrise,Unknown,Sci-Fi,Unknown,6.761,5093,8
Unknown,TV,12,Finished Airing,"Jan 9, 2004","Mar 26, 2004",Winter 2004,Group TAC,Manga,"Action, Drama, Romance",Shounen,7.001,5094,59
Unknown,Special,1,Finished Airing,"May 3, 2003",Not Available,Unknown,Toei Animation,Visual novel,"Drama, Romance, Slice of Life, Supernatural",Unknown,6.701,5095,3
Unknown,OVA,1,Finished Airing,"Mar 23, 2007",Not Available,Unknown,Phoenix Entertainment,Manga,"Boys Love, Comedy, Drama, Romance, Erotica",Unknown,6.531,5096,14
Unknown,ONA,8,Finished Airing,"Feb 17, 2018","Mar 7, 2019",Unknown,TROYCA,Game,Drama,Unknown,7.961,5097,92
Unknown,OVA,2,Finished Airing,Mar-11,Not Available,Unknown,Studio Deen,Visual novel,"Action, Drama, Supernatural",Unknown,7.401,5098,18
Aneki... My Sweet Elder Sister The Animation,OVA,4,Finished Airing,"Sep 28, 2007","Jul 29, 2011",Unknown,"T-Rex, Office Takeout",Manga,Hentai,Unknown,6.741,5099,86
Unknown,OVA,2,Finished Airing,"Nov 22, 2013","Jan 31, 2014",Unknown,Rabbit Gate,Visual novel,Hentai,Unknown,7.071,5100,59
Age 12,OVA,8,Finished Airing,"Apr 3, 2014","Jan 3, 2015",Unknown,SynergySP,Manga,Romance,Shoujo,6.251,5101,16
JOKER,TV,13,Finished Airing,"Oct 6, 2014","Jan 5, 2015",Fall 2014,Shin-Ei Animation,Manga,"Adventure, Comedy, Mystery",Kids,6.911,5102,103
Unknown,Special,1,Finished Airing,"Jul 25, 2005","Apr 25, 2006",Unknown,Studio Jam,Visual novel,Hentai,Unknown,6.461,5103,30
Lights of the Clione,TV,12,Finished Airing,"Jul 12, 2017","Sep 27, 2017",Summer 2017,drop,Novel,Drama,Unknown,5.401,5104,10
Unknown,Special,7,Finished Airing,"Jan 27, 2016",Not Available,Unknown,Seven,Manga,Comedy,Shounen,6.671,5105,10
Real Erogame Situation!,OVA,2,Finished Airing,"Jan 26, 2018","Aug 31, 2018",Unknown,Seven,Visual novel,Hentai,Unknown,7.201,5106,80
Interlude,OVA,3,Finished Airing,"Mar 25, 2004","Aug 27, 2004",Unknown,Toei Animation,Visual novel,"Adventure, Horror, Mystery",Unknown,6.401,5107,17
Square Sisters,OVA,2,Finished Airing,"Aug 25, 2008","Dec 25, 2008",Unknown,Flavors Soft,Visual novel,Hentai,Unknown,6.891,5108,43
Onegai My Melody,TV,52,Finished Airing,"Apr 3, 2005","Mar 26, 2006",Spring 2005,Studio Comet,Unknown,"Comedy, Fantasy",Unknown,7.231,5109,159
Unknown,OVA,4,Finished Airing,"Jun 26, 2009","Aug 27, 2010",Unknown,Anime Antenna Iinkai,Visual novel,"Fantasy, Hentai",Unknown,6.931,5110,166
Unknown,Music,1,Finished Airing,"Aug 24, 2011",Not Available,Unknown,Sunrise,Music,Unknown,Unknown,7.241,5111,18
Unknown,TV,26,Finished Airing,"Apr 16, 2003","Sep 25, 2003",Spring 2003,Gonzo,Original,"Adventure, Sci-Fi",Shounen,6.661,5112,22
PUCHIM@S,ONA,64,Finished Airing,"Jan 1, 2013","Mar 29, 2013",Unknown,Gathering,4-koma manga,"Comedy, Slice of Life",Unknown,7.121,5114,28
Unknown,Music,1,Finished Airing,"Feb 15, 2012",Not Available,Unknown,Sunrise,Music,Unknown,Unknown,7.211,5115,13
Hetalia Axis Powers Fan Disc,OVA,1,Finished Airing,"May 25, 2010",Not Available,Unknown,Studio Deen,Web manga,Comedy,Unknown,7.201,5115,19
Unknown,OVA,1,Finished Airing,"Feb 22, 2013",Not Available,Unknown,Seven,Visual novel,Hentai,Unknown,7.081,5117,91
Show By Rock!! Short!!,TV,12,Finished Airing,"Jul 5, 2016","Sep 20, 2016",Summer 2016,Bones,Game,Comedy,Unknown,6.451,5118,16
Haiyoru! Nyaruani Remember My Mr. Lovecraft,Special,1,Finished Airing,"Mar 15, 2011",Not Available,Unknown,DLE,Unknown,"Comedy, Sci-Fi",Unknown,6.161,5119,3
