English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Studios,Source,Genres,Demographics,Score,Popularity,Favorites
Unknown,TV,25,Finished Airing,"Jan 12, 2013","Jun 29, 2013",Winter 2013,Madhouse,Manga,"Drama, Slice of Life, Sports",Josei,8.391,931,1566
Porco Rosso,Movie,1,Finished Airing,"Jul 18, 1992",Not Available,Unknown,Studio Ghibli,Manga,"Action, Adventure, Comedy, Drama, Romance",Unknown,7.951,932,1756
Princess Jellyfish,TV,11,Finished Airing,"Oct 15, 2010","Dec 31, 2010",Fall 2010,Brain's Base,Manga,"Comedy, Slice of Life",Josei,8.121,933,4261
Knights of Sidonia,TV,12,Finished Airing,"Apr 11, 2014","Jun 27, 2014",Spring 2014,Polygon Pictures,Manga,"Action, Sci-Fi",Seinen,7.651,934,1406
Restaurant to Another World,TV,12,Finished Airing,"Jul 4, 2017","Sep 19, 2017",Summer 2017,SILVER LINK.,Light novel,"Fantasy, Gourmet, Slice of Life",Unknown,7.381,935,807
Naruto the Movie 2 Legend of the Stone of Gelel,Movie,1,Finished Airing,"Aug 6, 2005",Not Available,Unknown,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,6.871,936,158
Seiren,TV,12,Finished Airing,"Jan 6, 2017","Mar 24, 2017",Winter 2017,"Studio Gokumi, AXsiZ",Original,Romance,Unknown,6.291,937,431
Tsubasa RESERVoir CHRoNiCLE,TV,26,Finished Airing,"Apr 9, 2005","Oct 15, 2005",Spring 2005,Bee Train,Manga,"Action, Adventure, Fantasy, Romance, Supernatural",Shounen,7.521,938,1989
Terraformars,TV,13,Finished Airing,"Sep 27, 2014","Dec 20, 2014",Fall 2014,LIDENFILMS,Manga,"Action, Drama, Horror, Sci-Fi",Seinen,7.011,939,606
Yowamushi Pedal,TV,38,Finished Airing,"Oct 8, 2013","Jul 1, 2014",Fall 2013,TMS Entertainment,Manga,"Comedy, Drama, Sports",Shounen,7.951,940,2231
Unknown,Movie,1,Finished Airing,"Jul 6, 2013",Not Available,Unknown,Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,8.931,941,2025
Chrono Crusade,TV,24,Finished Airing,"Nov 25, 2003","Jun 10, 2004",Fall 2003,Gonzo,Manga,"Action, Romance, Supernatural",Shounen,7.621,942,1913
Rainbow Days,TV,24,Finished Airing,"Jan 10, 2016","Jun 26, 2016",Winter 2016,Production Reed,Manga,"Comedy, Romance, Slice of Life",Shoujo,7.281,943,673
Bleach the Movie Fade to Black,Movie,1,Finished Airing,"Dec 13, 2008",Not Available,Unknown,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,7.501,944,464
Dance in the Vampire Bund,TV,12,Finished Airing,"Jan 7, 2010","Apr 1, 2010",Winter 2010,Shaft,Manga,"Action, Drama, Romance, Supernatural",Seinen,7.011,945,675
Pokémon Origins,Special,4,Finished Airing,"Oct 2, 2013",Not Available,Unknown,"Production I.G, Xebec, OLM",Game,"Action, Adventure, Comedy, Fantasy",Kids,7.731,946,626
Hayate the Combat Butler,TV,52,Finished Airing,"Apr 1, 2007","Mar 30, 2008",Spring 2007,SynergySP,Manga,"Action, Comedy, Romance",Shounen,7.531,947,1559
Tiger & Bunny,TV,25,Finished Airing,"Apr 3, 2011","Sep 18, 2011",Spring 2011,Sunrise,Original,"Action, Comedy, Mystery",Unknown,7.871,948,2894
Canaan,TV,13,Finished Airing,"Jul 4, 2009","Sep 26, 2009",Summer 2009,P.A. Works,Visual novel,"Action, Sci-Fi, Supernatural",Seinen,7.231,949,869
